transaction_id,timestamp,psp,transaction_type,payer_vpa,payee_vpa,payer_bank,payee_bank,merchant_id,merchant_name,merchant_category,mcc,amount,currency,status,response_code,failure_reason,rrn,bank_reference_id,payment_mode,device_type,state,settlement_status,risk_score,fraud_flag
TXN_20260118_417304,2026-01-18T07:06:28+05:30,Paytm,UPI_PAYMENT,user395573@paytm,metromobili924@yesbank,State Bank of India,YES BANK,MER_562508,Metro Mobility,Transport,4121,387.56,INR,SUCCESS,00,,409100026608,BRN1575029407,UPI,IOS,Bihar,SETTLED,23,false
TXN_20260131_120889,2026-01-31T11:16:12+05:30,Paytm,UPI_PAYMENT,user117762@paytm,freshmartre920@hdfcbank,ICICI Bank,HDFC Bank,MER_824308,FreshMart Retail,Grocery,5411,483.67,INR,SUCCESS,00,,779114816480,BRN9261672857,UPI,ANDROID,Kerala,SETTLED,40,false
TXN_20260104_892889,2026-01-04T01:59:03+05:30,Paytm,UPI_PAYMENT,user383169@paytm,techsquaree890@bandhanb,Federal Bank,Bandhan Bank,MER_121950,TechSquare Electronics,Electronics,5732,1503.92,INR,SUCCESS,00,,898198778908,BRN8086830915,UPI,IOS,Rajasthan,SETTLED,61,false
TXN_20260125_865524,2026-01-25T02:01:52+05:30,Paytm,UPI_PAYMENT,user401729@paytm,utilitypays671@iciciban,State Bank of India,ICICI Bank,MER_228112,UtilityPay Services,Utilities,4900,293.74,INR,SUCCESS,00,,766715550630,BRN6003681644,UPI,ANDROID,Kerala,SETTLED,15,false
TXN_20260117_455053,2026-01-17T23:40:35+05:30,Paytm,UPI_PAYMENT,user698217@paytm,techsquaree146@iciciban,Kotak Mahindra Bank,ICICI Bank,MER_422288,TechSquare Electronics,Electronics,5732,96.41,INR,SUCCESS,00,,759221094726,BRN2325914830,UPI,ANDROID,Gujarat,SETTLED,41,false
TXN_20260127_303106,2026-01-27T09:31:33+05:30,Paytm,UPI_PAYMENT,user141639@paytm,booknest515@axisbank,Federal Bank,Axis Bank,MER_502345,BookNest,Books,5942,241.42,INR,SUCCESS,00,,147103388344,BRN4128038165,UPI,ANDROID,Bihar,SETTLED,29,false
TXN_20260131_177805,2026-01-31T20:49:49+05:30,Paytm,UPI_PAYMENT,user456584@paytm,urbaneats49@iciciban,Canara Bank,ICICI Bank,MER_883887,Urban Eats,Restaurant,5812,46.04,INR,SUCCESS,00,,801976325533,BRN7100118034,UPI,ANDROID,Maharashtra,SETTLED,51,false
TXN_20260117_653620,2026-01-17T15:56:04+05:30,Paytm,UPI_PAYMENT,user815359@paytm,mobilerecha721@yesbank,HDFC Bank,YES BANK,MER_830438,Mobile Recharge Hub,Telecom,4814,918.00,INR,SUCCESS,00,,209315464037,BRN7240477530,UPI,ANDROID,Telangana,SETTLED,33,false
TXN_20260131_423751,2026-01-31T12:53:21+05:30,Paytm,UPI_PAYMENT,user131659@paytm,quickfuelst356@ausmallf,Canara Bank,AU Small Finance Bank,MER_435392,QuickFuel Station,Fuel,5541,42.35,INR,SUCCESS,00,,787098753414,BRN4239611544,UPI,IOS,Rajasthan,SETTLED,15,false
TXN_20260126_247817,2026-01-26T00:01:17+05:30,Paytm,UPI_PAYMENT,user87423@paytm,urbaneats504@iciciban,State Bank of India,ICICI Bank,MER_712090,Urban Eats,Restaurant,5812,13.70,INR,SUCCESS,00,,730223050564,BRN5422638373,UPI,ANDROID,Maharashtra,SETTLED,2,false
TXN_20260105_748794,2026-01-05T18:48:22+05:30,Paytm,UPI_PAYMENT,user680074@paytm,mobilerecha774@axisbank,Federal Bank,Axis Bank,MER_733241,Mobile Recharge Hub,Telecom,4814,344.61,INR,SUCCESS,00,,446900534814,BRN5424374296,UPI,ANDROID,Rajasthan,SETTLED,43,false
TXN_20260110_581108,2026-01-10T13:32:27+05:30,Paytm,UPI_PAYMENT,user322456@paytm,edulearnser694@stateban,ICICI Bank,State Bank of India,MER_249176,EduLearn Services,Education,8299,1225.70,INR,SUCCESS,00,,918414137787,BRN1217281657,UPI,ANDROID,Jharkhand,PENDING,36,false
TXN_20260124_136130,2026-01-24T21:38:20+05:30,Paytm,UPI_PAYMENT,user989145@paytm,techsquaree997@axisbank,ICICI Bank,Axis Bank,MER_974988,TechSquare Electronics,Electronics,5732,1625.46,INR,SUCCESS,00,,769005285130,BRN4523546932,UPI,ANDROID,Madhya Pradesh,SETTLED,7,false
TXN_20260123_946586,2026-01-23T08:45:39+05:30,Paytm,UPI_PAYMENT,user885701@paytm,mobilerecha588@hdfcbank,State Bank of India,HDFC Bank,MER_104843,Mobile Recharge Hub,Telecom,4814,65.04,INR,SUCCESS,00,,462810227573,BRN2946422775,UPI,IOS,Andhra Pradesh,SETTLED,41,false
TXN_20260114_575346,2026-01-14T01:31:31+05:30,Paytm,UPI_PAYMENT,user718416@paytm,urbaneats278@stateban,Axis Bank,State Bank of India,MER_262109,Urban Eats,Restaurant,5812,76.81,INR,SUCCESS,00,,943416001617,BRN9505910760,UPI,ANDROID,Telangana,SETTLED,24,false
TXN_20260124_309152,2026-01-24T20:53:45+05:30,Paytm,UPI_PAYMENT,user226238@paytm,urbaneats514@stateban,Bank of Baroda,State Bank of India,MER_268911,Urban Eats,Restaurant,5812,392.41,INR,SUCCESS,00,,481282516325,BRN2335050262,UPI,ANDROID,Delhi,SETTLED,67,false
TXN_20260116_923266,2026-01-16T02:28:31+05:30,Paytm,UPI_PAYMENT,user634461@paytm,quickfuelst726@iciciban,UCO Bank,ICICI Bank,MER_501394,QuickFuel Station,Fuel,5541,99.77,INR,SUCCESS,00,,865614122098,BRN2225683534,UPI,ANDROID,Tamil Nadu,SETTLED,47,false
TXN_20260103_733814,2026-01-03T11:44:00+05:30,Paytm,UPI_PAYMENT,user904497@paytm,stylehubfas401@axisbank,Axis Bank,Axis Bank,MER_966525,StyleHub Fashion,Apparel,5651,444.99,INR,SUCCESS,00,,955577484708,BRN2102236224,UPI,ANDROID,Jharkhand,SETTLED,22,false
TXN_20260130_564385,2026-01-30T15:10:50+05:30,Paytm,UPI_PAYMENT,user237719@paytm,utilitypays695@iciciban,HDFC Bank,ICICI Bank,MER_732243,UtilityPay Services,Utilities,4900,409.84,INR,SUCCESS,00,,521986928875,BRN2115169468,UPI,IOS,Punjab,SETTLED,1,false
TXN_20260104_238156,2026-01-04T00:46:03+05:30,Paytm,UPI_PAYMENT,user52057@paytm,stylehubfas887@stateban,HDFC Bank,State Bank of India,MER_200563,StyleHub Fashion,Apparel,5651,391.32,INR,SUCCESS,00,,327515150108,BRN3685716679,UPI,ANDROID,Haryana,SETTLED,29,false
TXN_20260127_787011,2026-01-27T16:10:01+05:30,Paytm,UPI_PAYMENT,user581155@paytm,freshmartre133@bankofba,State Bank of India,Bank of Baroda,MER_564168,FreshMart Retail,Grocery,5411,1195.97,INR,SUCCESS,00,,827935064098,BRN5966247248,UPI,ANDROID,Delhi,SETTLED,44,false
